Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов,Наличие отзывов,Ценовая категория,Цена/Рейтинг
"Вино Solare, Capannelle",2015,Италия,Сухое,7490.0,4.6,4.0,1,Среднее,0.03655928060066352
Вино Clos Fourtet,2015,Франция,Сухое,36490.0,0.0,0.0,0,Дорогое,
Вино Chateau Rocheyron,2015,Франция,Сухое,18490.0,4.0,0.0,0,Дорогое,0.11106927710843373
"Вино Focus Zuc di Volpe, Volpe Pasini",2015,Италия,Сухое,7490.0,4.0,1.0,1,Среднее,0.04204317269076304
"Вино Каберне Совиньон Семейный Pезерв, Сикоры",2015,Россия,Сухое,3490.0,4.7,1.0,1,Дешевое,0.014419379646244552
"Вино Chateau Chantalouette, Chateau de Sales",2015,Франция,Сухое,7490.0,3.5,1.0,1,Среднее,0.04804934021801491
Вино Chateau La Lagune,2015,Франция,Сухое,12890.0,5.0,1.0,1,Среднее,0.06074297188755019
Вино Chateau Olivier Blanc,2015,Франция,Сухое,6690.0,5.0,0.0,0,Среднее,0.02961847389558233
"Вино La Sirene de Giscours, Chateau Giscours",2015,Франция,Сухое,7190.0,0.0,0.0,0,Среднее,
Вино Chateau la Gaffeliere,2015,Франция,Сухое,21990.0,5.0,0.0,0,Дорогое,0.10642570281124498
"Вино Cumieres Rouge Meunier, Geoffroy",2015,Франция,Сухое,11490.0,0.0,0.0,0,Среднее,
"Вино Vitovska (Venezia Giulia), Vodopivec",2015,Италия,Сухое,11030.0,3.0,1.0,1,Среднее,0.08567603748326638
"Вино Amarone della Valpolicella Classico Riserva Mater, Domini Veneti",2015,Италия,Полусухое,39990.0,0.0,0.0,0,Дорогое,
"Вино L’Hermitage Blanc  , Jean-Louis Chave",2015,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
"Вино Gewurztraminer Seigneurs de Ribeaupierre, Trimbach",2015,Франция,Полусладкое,8490.0,5.0,0.0,0,Среднее,0.03865461847389558
"Вино Touraine la Guerrerie, Le Clos du Tue-Boeuf",2015,Франция,Сухое,6490.0,4.7,1.0,1,Среднее,0.03044091258651627
"Вино Riesling Frederic Emile, Trimbach",2016,Франция,Полусухое,13990.0,0.0,1.0,1,Среднее,
