Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
"Вино Clos de Vougeot Grand Cru AOC, Domaine Hubert Lignier",2017.0,Франция,Сухое,54990.0,0.0,
"Вино Maranges Vieilles Vignes, Domaine Thierry et Pascale Matrot",2017.0,Франция,Сухое,6790.0,0.0,
"Вино Clos de L'Echelier Rouge, Thierry Germain",2017.0,Франция,Сухое,9490.0,0.0,
"Вино Clos de L'Echelier Blanc, Thierry Germain",2017.0,Франция,Сухое,11990.0,0.0,
"Вино Batard-Montrachet Grand Cru, Olivier Leflaive Freres",2017.0,Франция,Сухое,174990.0,0.0,
"Вино Chardonnay Alesia, Rhys Vineyards",2017.0,Соединенные Штаты Америки,Сухое,9990.0,4.0,1.0
"Вино La Marginale, Thierry Germain",2017.0,Франция,Сухое,8490.0,5.0,1.0
Вино Ornellaia,2017.0,Италия,Сухое,79990.0,5.0,
"Вино Outre Terre (Saumur Champigny), Thierry Germain",2017.0,Франция,Сухое,11990.0,5.0,
"Вино Yamhill Cuvee Pinot Noir, Domaine Serene",2017.0,Соединенные Штаты Америки,Сухое,14990.0,4.0,1.0
Вино Chateau-Grillet,2017.0,Франция,Сухое,89990.0,5.0,
"Вино Cantos del Diablo, Daniel Landi",2017.0,Испания,Сухое,18340.0,0.0,
"Вино Pinot Noir Alpine Vineyard, Rhys Vineyards",2017.0,Соединенные Штаты Америки,Сухое,28490.0,0.0,
"Вино Sassicaia, Tenuta San Guido",2017.0,Италия,Сухое,79990.0,5.0,6.0
"Вино Sassi Chiusi, Bertinga",2017.0,Италия,Сухое,4290.0,4.4,27.0
Вино Hacienda Lopez de Haro Reserva,2017.0,Испания,Сухое,1424.0,4.7,12.0
"Вино Finca Torrea, Marques de Riscal",2017.0,Испания,Сухое,6490.0,0.0,
"Вино Tenuta Regaleali Rosso del Conte, Tasca d'Almerita",2017.0,Италия,Сухое,5943.0,0.0,
"Вино Le Pied de la Butte, Domaine de la Butte",2017.0,Франция,Сухое,5920.0,0.0,
"Вино Colombard, Rigal",2017.0,Франция,Полусухое,1490.0,4.5,4.0
"Вино Boca, Le Piane",2017.0,Италия,Сухое,13990.0,0.0,
"Вино Bourgogne Chardonnay, Domaine Thierry et Pascale Matrot",2017.0,Франция,Сухое,5490.0,5.0,
"Вино Valbuena 5, Bodegas Vega Sicilia",2017.0,Испания,Сухое,31490.0,5.0,2.0
"Вино Baron de Chirel Reserva, Marques de Riscal",2017.0,Испания,Сухое,19990.0,4.5,2.0
"Вино Volnay, Domaine Jean-Marc & Thomas Bouley",2017.0,Франция,Сухое,13990.0,5.0,1.0
"Вино Savigny-les-Beaune Premier Cru La Dominode, Domaine Bruno Clair",2017.0,Франция,Сухое,16990.0,5.0,2.0
"Вино Napanook, Dominus Estate",2017.0,Соединенные Штаты Америки,Сухое,21490.0,4.0,
"Вино Dominus, Dominus Estate",2017.0,Соединенные Штаты Америки,Сухое,74990.0,0.0,
Вино Triennes Les Aureliens Rouge,2017.0,Франция,Сухое,2990.0,5.0,1.0
"Вино Pinot Gris Reserve Personnelle, Trimbach",2017.0,Франция,Полусухое,7290.0,5.0,
"Вино Franc de Pied, Thierry Germain",2017.0,Франция,Сухое,8990.0,0.0,
"Вино Gran Feudo Reserva, Bodegas Chivite",2017.0,Испания,Сухое,1690.0,4.6,15.0
"Вино Torrione, Petrolo",2017.0,Италия,Сухое,4990.0,4.3,1.0
"Вино Vino Nobile di Montepulciano Vigneto Antica Chiusina, Fattoria del Cerro",2017.0,Италия,Сухое,6490.0,4.5,1.0
"Вино Cote-Rotie Chateau d'Ampuis, Guigal",2017.0,Франция,Сухое,26490.0,0.0,1.0
"Вино Clos de Vougeot Grand Cru, Domaine Jean Grivot",2017.0,Франция,Сухое,64990.0,0.0,
"Вино Nuits-Saint-Georges Premier Cru Aux Boudots, Domaine Jean Grivot",2017.0,Франция,Сухое,51050.0,0.0,
"Вино Nuits-Saint-Georges Premier Cru Les Pruliers, Domaine Jean Grivot",2017.0,Франция,Сухое,43040.0,0.0,
"Вино Mimmo, Le Piane",2017.0,Италия,Сухое,4990.0,4.8,
"Вино Gran Feudo Crianza, Bodegas Chivite",2017.0,Испания,Сухое,1440.0,4.3,19.0
"Вино L'Ermita Velles Vinyes, Alvaro Palacios",2017.0,Испания,Сухое,199990.0,5.0,1.0
